id,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price_eur_per_night,price_unit,distance_to_oktoberfest_km,distance_band,oktoberfest_observed_days,oktoberfest_available_days,available_during_observed_oktoberfest
1226028224348626485,Ramersdorf-Perlach,48.10116304227415,11.654397135554218,Entire home/apt,1,14,0.62,181,7.0,EUR per night,8.504141969982483,5-10 km from Oktoberfest,,,
1226109335776598480,Sendling,48.1105229,11.5518129,Private room,1,13,0.58,11,106.0,EUR per night,2.3832170705958347,2-5 km from Oktoberfest,,,
1226214742199466926,Ludwigsvorstadt-Isarvorstadt,48.12959951189997,11.556738152591048,Entire home/apt,3,0,,356,270.0,EUR per night,0.5949773543692827,0-2 km from Oktoberfest,,,
1226269127239423379,Schwabing-West,48.16359,11.57718,Entire home/apt,2,6,0.28,56,479.0,EUR per night,4.078503462534384,2-5 km from Oktoberfest,,,
1226296044425747091,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0789702788383,11.50514761480815,Private room,1,5,0.23,1,110.0,EUR per night,6.744237661940088,5-10 km from Oktoberfest,,,
1226461612812489734,Aubing-Lochhausen-Langwied,48.14329,11.42029,Entire home/apt,1,8,0.38,133,270.0,EUR per night,9.671348212031376,5-10 km from Oktoberfest,,,
1226555583171928960,Milbertshofen-Am Hart,48.18576,11.55025,Private room,1,39,1.81,25,122.0,EUR per night,5.989217118906223,5-10 km from Oktoberfest,,,
1226649021678894747,Ramersdorf-Perlach,48.10822349308011,11.646314309090588,Private room,5,2,0.09,240,58.0,EUR per night,7.653635933174503,5-10 km from Oktoberfest,,,
1226657022663576381,Ludwigsvorstadt-Isarvorstadt,48.13754524282221,11.5501165349182,Entire home/apt,1,79,3.71,203,371.0,EUR per night,0.629387537734639,0-2 km from Oktoberfest,,,
1226715896535476345,Sendling-Westpark,48.11519,11.5074,Private room,2,0,,194,125.0,EUR per night,3.6355732256500315,2-5 km from Oktoberfest,,,
1226733640553620817,Tudering-Riem,48.13236284410591,11.697480695370611,Entire home/apt,2,6,0.27,57,315.0,EUR per night,10.982234891671284,10+ km from Oktoberfest,,,
1226733920156401999,Obergiesing,48.117998089202494,11.582651009965836,Entire home/apt,1,7,0.33,9,262.0,EUR per night,2.9058641327641475,2-5 km from Oktoberfest,,,
1227240753168946021,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0998300296185,11.53228908777237,Entire home/apt,2,2,0.09,5,125.0,EUR per night,3.7880011283893715,2-5 km from Oktoberfest,,,
1227293189349079171,Schwanthalerhöhe,48.13985,11.53608,Private room,30,10,0.45,83,97.0,EUR per night,1.3316188068568575,0-2 km from Oktoberfest,,,
1227565186942134539,Altstadt-Lehel,48.13396410763741,11.582320888568354,Entire home/apt,1,17,0.79,354,985.0,EUR per night,2.4464940184916446,2-5 km from Oktoberfest,,,
1228044482111341824,Bogenhausen,48.149431,11.603339,Entire home/apt,3,2,0.09,125,155.0,EUR per night,4.44513342711755,2-5 km from Oktoberfest,,,
1228114911745001113,Au-Haidhausen,48.1281430655411,11.586015264308118,Private room,1,11,0.51,18,120.0,EUR per night,2.7420340421900358,2-5 km from Oktoberfest,,,
1228168008018827708,Neuhausen-Nymphenburg,48.15092,11.5344,Entire home/apt,2,3,0.32,362,553.0,EUR per night,2.393376487347448,2-5 km from Oktoberfest,,,
1228231522348196300,Untergiesing-Harlaching,48.11034264153396,11.577979442361652,Private room,1,0,,362,320.0,EUR per night,3.1960829947727616,2-5 km from Oktoberfest,,,
1228354759394219623,Obergiesing,48.10967191282454,11.580777274935746,Entire home/apt,2,4,0.18,57,633.0,EUR per night,3.3910675959277903,2-5 km from Oktoberfest,,,
1228362383427283977,Sendling-Westpark,48.111726447310616,11.529755324554786,Entire home/apt,20,1,0.11,88,98.0,EUR per night,2.679541375934196,2-5 km from Oktoberfest,,,
1228858071137204377,Ramersdorf-Perlach,48.0966359,11.6046772,Private room,2,9,0.42,171,89.0,EUR per night,5.670571910274784,5-10 km from Oktoberfest,,,
1228893101905492126,Au-Haidhausen,48.1204924609351,11.577359424630624,Entire home/apt,1,12,0.54,1,172.0,EUR per night,2.4258370976484045,2-5 km from Oktoberfest,,,
1228927368176447006,Laim,48.14367775326684,11.497367408366523,Entire home/apt,2,44,2.07,118,189.0,EUR per night,4.084164621646446,2-5 km from Oktoberfest,,,
1229033049738054109,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09122515489495,11.516663700803626,Entire home/apt,2,34,1.58,36,242.0,EUR per night,5.138016897579064,5-10 km from Oktoberfest,,,
1229091950332348905,Laim,48.14191910375169,11.503600850701332,Entire home/apt,3,1,0.05,42,640.0,EUR per night,3.583577012715821,2-5 km from Oktoberfest,,,
1229127728968903400,Laim,48.13825818886614,11.520097437355586,Entire home/apt,4,7,0.33,284,183.0,EUR per night,2.2936159039458968,2-5 km from Oktoberfest,,,
1229450618285100155,Laim,48.1369854,11.4902685,Entire home/apt,3,7,0.33,140,163.0,EUR per night,4.431782688969094,2-5 km from Oktoberfest,,,
1229505382413077179,Au-Haidhausen,48.1275982,11.5895034,Entire home/apt,14,20,0.94,324,83.0,EUR per night,3.0072036527568007,2-5 km from Oktoberfest,,,
1229513763160210064,Au-Haidhausen,48.1275982,11.5895034,Entire home/apt,28,5,0.27,333,70.0,EUR per night,3.0072036527568007,2-5 km from Oktoberfest,,,
1230566077973417546,Maxvorstadt,48.15382088320513,11.569208266155526,Entire home/apt,2,8,0.37,253,565.0,EUR per night,2.842482127327765,2-5 km from Oktoberfest,,,
1230977227628490515,Ludwigsvorstadt-Isarvorstadt,48.12983999999999,11.5749,Entire home/apt,2,11,0.51,235,432.0,EUR per night,1.8989268374981716,0-2 km from Oktoberfest,,,
1231062103113617984,Obergiesing,48.11321872114235,11.580196282092375,Entire home/apt,2,1,0.05,365,207.0,EUR per night,3.0832698581512865,2-5 km from Oktoberfest,,,
1231073660155161569,Ludwigsvorstadt-Isarvorstadt,48.13765979999999,11.5504384,Entire home/apt,1,85,4.02,218,286.0,EUR per night,0.6442353284694904,0-2 km from Oktoberfest,,,
1231134246551332981,Berg am Laim,48.1259534065201,11.630996227816777,Entire home/apt,1,3,0.14,263,130.0,EUR per night,6.084506483832573,5-10 km from Oktoberfest,,,
1231141731515357144,Schwanthalerhöhe,48.138,11.54511,Entire home/apt,2,4,0.19,11,533.0,EUR per night,0.7524674679076054,0-2 km from Oktoberfest,,,
1231203572002310877,Aubing-Lochhausen-Langwied,48.15533,11.4191,Private room,1,1,0.05,179,138.0,EUR per night,10.019863752517766,10+ km from Oktoberfest,,,
