id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,availability_level,has_reviews,snapshot_date,generated_at
2148966,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,287.0,3,95,0.63,8,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
2251998,Ramersdorf-Perlach,Private room,81.0,3,165,1.15,106,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2257931,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,162.0,2,0,0.0,345,High,False,2026-06-29,2026-09-11T01:25:48+02:00
2286506,Bogenhausen,Entire home/apt,308.0,2,350,2.39,140,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2331422,Hadern,Private room,54.0,4,221,1.49,62,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2377342,Tudering-Riem,Private room,49.0,7,54,0.43,42,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2445882,Schwabing-West,Entire home/apt,180.0,3,114,0.77,13,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
2452832,Maxvorstadt,Entire home/apt,149.0,1,644,4.33,162,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2540597,Feldmoching-Hasenbergl,Private room,112.0,1,37,0.28,250,High,True,2026-06-29,2026-09-11T01:25:48+02:00
2544224,Au-Haidhausen,Entire home/apt,172.0,1,580,3.89,190,High,True,2026-06-29,2026-09-11T01:25:48+02:00
2544799,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,176.0,1,22,0.15,33,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2575669,Sendling-Westpark,Private room,83.0,2,14,0.22,133,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2602887,Bogenhausen,Entire home/apt,26.0,99,21,0.14,173,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2606617,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Entire home/apt,166.0,3,46,0.32,153,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2662348,Schwabing-Freimann,Private room,61.0,1,410,2.75,140,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
2699009,Maxvorstadt,Private room,115.0,1,109,0.81,313,High,True,2026-06-29,2026-09-11T01:25:48+02:00
2806219,Schwanthalerhöhe,Entire home/apt,420.0,3,3,0.07,259,High,True,2026-06-29,2026-09-11T01:25:48+02:00
2835482,Laim,Entire home/apt,127.0,3,17,0.47,7,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
2861806,Bogenhausen,Private room,40.0,1,0,0.0,136,Medium,False,2026-06-29,2026-09-11T01:25:48+02:00
2931704,Moosach,Entire home/apt,221.0,2,151,1.02,183,High,True,2026-06-29,2026-09-11T01:25:48+02:00
2949717,Au-Haidhausen,Entire home/apt,130.0,1,162,1.1,80,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3025064,Ludwigsvorstadt-Isarvorstadt,Private room,320.0,2,58,0.43,81,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3028008,Untergiesing-Harlaching,Private room,43.0,30,40,0.27,274,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3092813,Schwabing-West,Private room,88.0,1,60,0.42,189,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3169487,Maxvorstadt,Private room,65.0,2,599,4.12,259,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3219673,Moosach,Private room,11.0,90,64,0.45,273,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3266640,Schwabing-West,Entire home/apt,272.0,4,13,0.09,88,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3375898,Sendling,Entire home/apt,111.0,1,114,0.89,3,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
3419577,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,188.0,2,105,0.72,28,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
3464431,Milbertshofen-Am Hart,Entire home/apt,32.0,1,11,0.13,219,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3591390,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Entire home/apt,211.0,2,73,0.52,261,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3597406,Schwabing-West,Private room,61.0,1,181,1.26,73,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3633225,Schwabing-West,Entire home/apt,287.0,2,139,0.96,93,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3652758,Schwabing-West,Private room,99.0,1,63,0.67,156,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3662438,Berg am Laim,Private room,52.0,5,52,0.36,334,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3692510,Schwabing-Freimann,Private room,32.0,14,34,0.24,142,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3795594,Tudering-Riem,Entire home/apt,130.0,2,302,2.11,12,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
3848277,Maxvorstadt,Private room,222.0,2,17,0.73,20,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
3854069,Sendling-Westpark,Entire home/apt,388.0,3,29,0.2,357,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3854294,Au-Haidhausen,Entire home/apt,149.0,2,526,3.68,297,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3867968,Schwabing-Freimann,Private room,80.0,1,6,0.07,86,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3896620,Ludwigsvorstadt-Isarvorstadt,Private room,213.0,1,29,0.2,58,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3904126,Obergiesing,Private room,104.0,1,84,0.69,268,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3921235,Au-Haidhausen,Entire home/apt,193.0,3,10,0.14,5,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
3926137,Neuhausen-Nymphenburg,Entire home/apt,14.0,180,17,0.12,335,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3944481,Milbertshofen-Am Hart,Private room,88.0,1,72,0.52,56,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3950867,Neuhausen-Nymphenburg,Private room,89.0,1,102,0.8,339,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3950882,Neuhausen-Nymphenburg,Private room,89.0,2,62,0.43,153,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3966633,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,136.0,8,22,0.2,89,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3969430,Maxvorstadt,Private room,95.0,2,171,1.2,315,High,True,2026-06-29,2026-09-11T01:25:48+02:00
3979304,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,132.0,1,553,4.32,148,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
3989785,Ludwigsvorstadt-Isarvorstadt,Entire home/apt,239.0,1,517,3.73,201,High,True,2026-06-29,2026-09-11T01:25:48+02:00
4034719,Milbertshofen-Am Hart,Private room,47.0,1,501,3.51,77,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4036253,Maxvorstadt,Entire home/apt,171.0,1,9,0.06,145,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4037636,Untergiesing-Harlaching,Private room,86.0,2,66,0.46,235,High,True,2026-06-29,2026-09-11T01:25:48+02:00
4050327,Tudering-Riem,Private room,142.0,1,4,0.03,300,High,True,2026-06-29,2026-09-11T01:25:48+02:00
4056005,Obergiesing,Private room,210.0,2,5,0.04,98,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4059615,Bogenhausen,Entire home/apt,525.0,4,56,0.39,127,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4072858,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Entire home/apt,201.0,1,7,0.06,337,High,True,2026-06-29,2026-09-11T01:25:48+02:00
4094959,Untergiesing-Harlaching,Entire home/apt,183.0,2,59,0.55,42,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4101919,Neuhausen-Nymphenburg,Private room,275.0,2,1,0.03,173,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4107454,Berg am Laim,Private room,201.0,1,67,0.51,360,High,True,2026-06-29,2026-09-11T01:25:48+02:00
4159098,Sendling,Entire home/apt,243.0,1,275,1.92,309,High,True,2026-06-29,2026-09-11T01:25:48+02:00
4161164,Sendling,Entire home/apt,156.0,1,162,2.63,31,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4179154,Untergiesing-Harlaching,Entire home/apt,139.0,4,151,1.27,194,High,True,2026-06-29,2026-09-11T01:25:48+02:00
4189709,Altstadt-Lehel,Private room,350.0,1,1,0.01,86,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4193194,Laim,Private room,77.0,2,179,1.34,82,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4242429,Schwanthalerhöhe,Private room,69.0,2,107,0.77,66,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4336040,Schwabing-West,Private room,37.0,1,365,2.56,27,Low,True,2026-06-29,2026-09-11T01:25:48+02:00
4349897,Schwabing-Freimann,Entire home/apt,442.0,2,58,0.41,127,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4487609,Aubing-Lochhausen-Langwied,Entire home/apt,252.0,3,9,0.07,363,High,True,2026-06-29,2026-09-11T01:25:48+02:00
4496669,Schwanthalerhöhe,Entire home/apt,124.0,3,196,1.5,146,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4563452,Sendling-Westpark,Entire home/apt,311.0,1,49,0.36,78,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4563657,Berg am Laim,Entire home/apt,328.0,1,55,0.46,40,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4569312,Maxvorstadt,Private room,193.0,4,2,0.02,113,Medium,True,2026-06-29,2026-09-11T01:25:48+02:00
4655071,Neuhausen-Nymphenburg,Entire home/apt,473.0,1,31,0.23,356,High,True,2026-06-29,2026-09-11T01:25:48+02:00
